avg polarity score,subscribers,totalVideos,totalViews,duration
0.277472727,369000,1850,20517888,920.0
0.234844068,369000,1850,20517888,1097.0
0.236256923,369000,1850,20517888,1174.0
0.237892647,369000,1850,20517888,1322.0
0.244638571,369000,1850,20517888,1132.0
0.245375,369000,1850,20517888,1257.0
0.264657143,369000,1850,20517888,1225.0
0.268016667,369000,1850,20517888,1406.0
0.27109,369000,1850,20517888,1563.0
0.255622619,369000,1850,20517888,1241.0
0.254773626,369000,1850,20517888,1214.0
0.259177083,369000,1850,20517888,998.0
0.255637,369000,1850,20517888,1135.0
0.245317476,369000,1850,20517888,1231.0
0.246227885,369000,1850,20517888,1188.0
0.249148113,369000,1850,20517888,1090.0
0.248733333,369000,1850,20517888,1154.0
0.252184404,369000,1850,20517888,1215.0
0.252184404,369000,1850,20517888,1267.0
0.257685586,369000,1850,20517888,763.0
0.466481818,6640,546,2170162,2017.0
0.44998,6640,546,2170162,970.0
0.411689286,6640,546,2170162,681.0
0.427734483,6640,546,2170162,2963.0
0.43839,6640,546,2170162,736.0
0.43839,6640,546,2170162,1228.0
0.437342424,6640,546,2170162,3412.0
0.437342424,6640,546,2170162,502.0
0.437342424,6640,546,2170162,465.0
0.437342424,6640,546,2170162,648.0
0.424479412,6640,546,2170162,826.0
0.428055263,6640,546,2170162,1901.0
0.419435714,6640,546,2170162,2341.0
0.435657778,6640,546,2170162,2948.0
0.444489583,6640,546,2170162,1171.0
0.435518,6640,546,2170162,2109.0
0.466278947,642000,537,42153717,563.0
0.433536667,642000,537,42153717,1258.0
0.427015614,642000,537,42153717,460.0
0.417406455,642000,537,42153717,1623.0
0.424846097,642000,537,42153717,1327.0
0.431380727,642000,537,42153717,801.0
0.434231667,642000,537,42153717,634.0
0.432413709,642000,537,42153717,914.0
0.437703433,642000,537,42153717,461.0
0.440015168,642000,537,42153717,686.0
0.438590576,642000,537,42153717,316.0
0.43751617,642000,537,42153717,353.0
0.435996631,642000,537,42153717,575.0
0.431255172,642000,537,42153717,734.0
0.431292782,642000,537,42153717,343.0
0.429813197,642000,537,42153717,624.0
0.427827415,642000,537,42153717,826.0
0.42858966,642000,537,42153717,864.0
0.42849351,642000,537,42153717,444.0
0.42854815,642000,537,42153717,1298.0
0.428652725,642000,537,42153717,785.0
0.429254604,642000,537,42153717,471.0
0.256575,25600,392,2343442,731.0
0.2775,25600,392,2343442,574.0
0.2775,25600,392,2343442,334.0
0.345916667,25600,392,2343442,451.0
0.2797625,25600,392,2343442,569.0
0.2797625,25600,392,2343442,313.0
0.2797625,25600,392,2343442,680.0
0.2797625,25600,392,2343442,416.0
0.2797625,25600,392,2343442,383.0
0.2797625,25600,392,2343442,373.0
0.32644,25600,392,2343442,386.0
0.32644,25600,392,2343442,834.0
0.32644,25600,392,2343442,587.0
0.32644,25600,392,2343442,638.0
0.32644,25600,392,2343442,491.0
0.32644,25600,392,2343442,249.0
0.32644,25600,392,2343442,462.0
0.32644,25600,392,2343442,399.0
0.32644,25600,392,2343442,215.0
0.236854545,25600,392,2343442,347.0
0.238407692,25600,392,2343442,267.0
0.247178571,25600,392,2343442,441.0
0.22726,25600,392,2343442,325.0
0.245917647,25600,392,2343442,455.0
0.256794444,25600,392,2343442,476.0
0.256794444,25600,392,2343442,566.0
0.256794444,25600,392,2343442,403.0
0.256794444,25600,392,2343442,892.0
0.27836,25600,392,2343442,2436.0
0.3696127273,1710000,2320,347648425,269.0
0.3686395498,1710000,2320,347648425,483.0
0.3577157216,1710000,2320,347648425,364.0
0.3631382479,1710000,2320,347648425,760.0
0.3541741284,1710000,2320,347648425,518.0
0.349977931,1710000,2320,347648425,171.0
0.3416688498,1710000,2320,347648425,247.0
0.3298727273,1710000,2320,347648425,625.0
0.3264903794,1710000,2320,347648425,530.0
0.3351654034,1710000,2320,347648425,551.0
0.3411233446,1710000,2320,347648425,321.0
0.3433511828,1710000,2320,347648425,314.0
0.3402419922,1710000,2320,347648425,381.0
0.3436635666,1710000,2320,347648425,184.0
0.3420030669,1710000,2320,347648425,331.0
0.3453532735,1710000,2320,347648425,355.0
0.3427592241,1710000,2320,347648425,415.0
0.3425674536,1710000,2320,347648425,283.0
0.3441527138,1710000,2320,347648425,533.0
0.3424883683,1710000,2320,347648425,427.0
0.3437790845,1710000,2320,347648425,325.0
0.3422066002,1710000,2320,347648425,255.0
0.3418933131,1710000,2320,347648425,234.0
0.3416294959,1710000,2320,347648425,249.0
0.3426443704,1710000,2320,347648425,413.0
0.3438403226,1710000,2320,347648425,290.0
0.3430169662,1710000,2320,347648425,279.0
0.3415275813,1710000,2320,347648425,349.0
0.3447811806,1710000,2320,347648425,415.0
0.3450453488,1710000,2320,347648425,293.0
0.3459933153,1710000,2320,347648425,302.0
0.3456304636,1710000,2320,347648425,634.0
0.3449932768,1710000,2320,347648425,375.0
0.3504587616,1710000,2320,347648425,388.0
0.3495637973,1710000,2320,347648425,323.0
0.3490419008,1710000,2320,347648425,301.0
0.3473102087,1710000,2320,347648425,393.0
0.3470945556,1710000,2320,347648425,344.0
0.3477606027,1710000,2320,347648425,278.0
0.3456272432,1710000,2320,347648425,275.0
0.3455318717,1710000,2320,347648425,79.0
0.3455253454,1710000,2320,347648425,455.0
0.3460295359,1710000,2320,347648425,365.0
0.3454689315,1710000,2320,347648425,314.0
0.3429834862,1710000,2320,347648425,487.0
0.3426754306,1710000,2320,347648425,321.0
0.3423580856,1710000,2320,347648425,363.0
0.3427899598,1710000,2320,347648425,350.0
0.3435004487,1710000,2320,347648425,379.0
0.3432970821,1710000,2320,347648425,313.0
0.3410994132,1710000,2320,347648425,394.0
0.3407199806,1710000,2320,347648425,197.0
0.3414916788,1710000,2320,347648425,217.0
0.3415485577,1710000,2320,347648425,326.0
0.3395159166,1710000,2320,347648425,279.0
0.3401591272,1710000,2320,347648425,285.0
0.3388708159,1710000,2320,347648425,449.0
0.3405698756,1710000,2320,347648425,400.0
0.3410012797,1710000,2320,347648425,474.0
0.3408257117,1710000,2320,347648425,360.0
0.3409803044,1710000,2320,347648425,414.0
0.3423852343,1710000,2320,347648425,509.0
0.3438319468,1710000,2320,347648425,609.0
0.3446200578,1710000,2320,347648425,360.0
0.3437672512,1710000,2320,347648425,365.0
0.3436515998,1710000,2320,347648425,355.0
0.3429655408,1710000,2320,347648425,394.0
0.3421081372,1710000,2320,347648425,435.0
0.3411388119,1710000,2320,347648425,572.0
0.3400838455,1710000,2320,347648425,287.0
0.3395034348,1710000,2320,347648425,588.0
0.3388705951,1710000,2320,347648425,159.0
0.3385487041,1710000,2320,347648425,227.0
0.3378815113,1710000,2320,347648425,527.0
0.3372046672,1710000,2320,347648425,259.0
0.3356068613,1710000,2320,347648425,428.0
0.3348561344,1710000,2320,347648425,316.0
0.3342043201,1710000,2320,347648425,328.0
0.335492202,1710000,2320,347648425,581.0
0.3389062297,1710000,2320,347648425,556.0
0.3385723138,1710000,2320,347648425,187.0
0.3377115741,1710000,2320,347648425,216.0
0.3382089884,1710000,2320,347648425,247.0
0.3375902105,1710000,2320,347648425,232.0
0.3374443709,1710000,2320,347648425,346.0
0.3376677252,1710000,2320,347648425,555.0
0.3380896113,1710000,2320,347648425,528.0
